Market,Property,Historical Weekly Avg Entrants,Year of Date,Date,Total Entrants
US - Rock Center,1 Rockefeller Plaza,1495,2021,12/1/2021,424
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/30/2021,395
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/29/2021,421
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/26/2021,30
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/25/2021,0
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/24/2021,357
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/23/2021,345
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/22/2021,354
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/19/2021,264
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/18/2021,353
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/17/2021,397
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/16/2021,341
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/15/2021,273
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/12/2021,238
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/11/2021,322
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/10/2021,375
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/9/2021,403
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/8/2021,366
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/5/2021,270
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/4/2021,392
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/3/2021,423
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/2/2021,419
US - Rock Center,1 Rockefeller Plaza,1495,2021,11/1/2021,372
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/29/2021,245
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/28/2021,433
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/27/2021,422
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/26/2021,330
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/25/2021,348
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/22/2021,265
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/21/2021,386
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/20/2021,423
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/19/2021,398
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/18/2021,360
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/15/2021,283
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/14/2021,432
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/13/2021,407
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/12/2021,421
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/11/2021,197
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/8/2021,270
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/7/2021,371
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/6/2021,425
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/5/2021,372
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/4/2021,358
US - Rock Center,1 Rockefeller Plaza,1495,2021,10/1/2021,270
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/30/2021,327
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/29/2021,401
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/28/2021,357
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/27/2021,380
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/24/2021,300
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/23/2021,453
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/22/2021,449
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/21/2021,410
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/20/2021,373
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/17/2021,318
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/16/2021,369
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/15/2021,419
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/14/2021,448
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/13/2021,403
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/10/2021,323
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/9/2021,443
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/8/2021,395
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/7/2021,365
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/6/2021,0
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/3/2021,216
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/2/2021,247
US - Rock Center,1 Rockefeller Plaza,1495,2021,9/1/2021,369
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/31/2021,385
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/30/2021,275
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/27/2021,213
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/26/2021,350
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/25/2021,373
